UP_id	tax_group
UniRef50_A0A2D6WVV4	Archaea
UniRef50_A0A2D6WVZ5	Archaea
UniRef50_A0A2D6WW00	Archaea
UniRef50_A0A2D6WW13	Archaea
UniRef50_A0A2D6WWA2	Archaea
UniRef50_A0A2D6WWA4	Archaea
UniRef50_A0A2D6WWU4	Archaea
UniRef50_A0A2D6WWZ2	Archaea
UniRef50_A0A2D6WX02	Archaea
UniRef50_A0A2D6WX13	Archaea
UniRef50_A0A2D6WX31	Archaea
UniRef50_A0A2D6WXG8	Archaea
UniRef50_A0A2D6WXH9	Archaea
UniRef50_A0A2D6WXI9	Archaea
UniRef50_A0A2D6WXQ1	Archaea
UniRef50_A0A2D6WXV9	Archaea
UniRef50_A0A2D6WXY4	Archaea
UniRef50_A0A2D6WY96	Archaea
UniRef50_A0A2D6WYV5	Archaea
UniRef50_A0A2D6WZ03	Archaea
UniRef50_A0A2D6WZ13	Archaea
UniRef50_A0A2D6WZ29	Archaea
UniRef50_A0A2D6WZB9	Archaea
UniRef50_A0A2D6WZC4	Archaea
UniRef50_A0A2D6WZJ7	Archaea
UniRef50_A0A2D6WZM7	Archaea
UniRef50_A0A2D6WZS1	Archaea
UniRef50_A0A2D6WZT0	Archaea
UniRef50_A0A2D6WZV0	Archaea
UniRef50_A0A2D6WZW8	Archaea
UniRef50_A0A2D6X0B4	Archaea
UniRef50_A0A2D6X0C1	Archaea
UniRef50_A0A2D6X0E5	Archaea
UniRef50_A0A2D6X0I5	Archaea
UniRef50_A0A2D6X0R7	Archaea
UniRef50_A0A2D6X0U8	Archaea
UniRef50_A0A2D6X102	Archaea
UniRef50_A0A2D6X1D2	Archaea
UniRef50_A0A2D6X1N4	Archaea
UniRef50_A0A2D6X1P6	Archaea
UniRef50_A0A2D6X1U3	Archaea
UniRef50_A0A2D6X1U9	Archaea
UniRef50_A0A2D6X1V5	Archaea
UniRef50_A0A2D6X1V7	Archaea
UniRef50_A0A2D6X1V9	Archaea
UniRef50_A0A2D6X1W5	Archaea
UniRef50_A0A2D6X1Y1	Archaea
UniRef50_A0A2D6X264	Archaea
UniRef50_A0A2D6X265	Archaea
UniRef50_A0A2D6X280	Archaea
UniRef50_A0A2D6X2A4	Archaea
UniRef50_A0A2D6X2F5	Archaea
UniRef50_A0A2D6X2I8	Archaea
UniRef50_A0A2D6X2P1	Archaea
UniRef50_A0A2D6X2S2	Archaea
UniRef50_A0A2D6X2S4	Archaea
UniRef50_A0A2D6X2S6	Archaea
UniRef50_A0A2D6X2T9	Archaea
UniRef50_A0A2D6X2U5	Archaea
UniRef50_A0A2D6X2V0	Archaea
UniRef50_A0A2D6X2V6	Archaea
UniRef50_A0A2D6X386	Archaea
UniRef50_A0A2D6X3C6	Archaea
UniRef50_A0A2D6X3G3	Archaea
UniRef50_A0A2D6X3S5	Archaea
UniRef50_A0A2D6X3X7	Archaea
UniRef50_A0A2D6X4L3	Archaea
UniRef50_A0A2D6X4T0	Archaea
UniRef50_A0A2D6X564	Archaea
UniRef50_A0A2D6X577	Archaea
UniRef50_A0A2D6X578	Archaea
UniRef50_A0A2D6X5N4	Archaea
UniRef50_A0A2D6X5P1	Archaea
UniRef50_A0A2D6X5X9	Archaea
UniRef50_A0A2D6X677	Archaea
UniRef50_A0A2D6X6A2	Archaea
UniRef50_A0A2D6X6C3	Archaea
UniRef50_A0A2D6X6D1	Archaea
UniRef50_A0A2D6X6E6	Archaea
UniRef50_A0A2D6X6H5	Archaea
UniRef50_A0A2D6X6L4	Archaea
UniRef50_A0A2D6X6L9	Archaea
UniRef50_A0A2D6X6M3	Archaea
UniRef50_A0A2D6X6P6	Archaea
UniRef50_A0A2D6X6Q6	Archaea
